순위,도서명,저자,출판사,출판일,정가,판매가,평점,리뷰수,상품코드,상세설명
94,챗GPT·퍼플렉시티·클로드·코파일럿·제미나이 다 잘함,이호정,리코멘드,2025-11-10,28000,25200,9.78,53,S000218323853,"★  AI 시대, 하나로는 부족합니다!
★  진짜 일 잘하는 AI를 찾아 퇴근이 빨라지는 핵심 노하우를 97개의 활용 사례에 담았습니다!

2022년 11월! 무엇이든지 묻기만 하면 원하는 대답을 척척 해 내는 챗지피티를 처음 봤을 때의 충격은 아직도 잊을 수 없다. 그로부터 3년 여가 지났다. 이제, 우리는 다양한 AI 중에서 내 생활에, 내 업무에 가장 적합한 AI가 무엇인지를 찾고, 그때그때의 상황에 맞춰 적절하게 섞어서 AI를 사용할 줄 알아야 하는 단계가 되었다.
이 책은 이러한 시대적 환경에 맞춰 다섯 가지 주요 텍스트 생성형 AI인 챗지피티, 퍼플렉시티, 클로드, 코파일러, 제미나이의 특징과 활용법을 안내한다. SNS에 올릴 홍보 게시글을 써야 하는 마케터라면 클로드를, 엑셀 작업이 많은 회계 담당자라면 코파일럿을, 다음 달에 해외 여행을 계획 중이라면 제미나이를 사용할 것을 추천하는 식이다.
하루가 다르게 성능이 좋아지는 AI에 발맞춰, 개정증보판에서는 ‘다양한 활용 사례를 통해 실질적인 도움이 되었다’는 초판의 장점을 유지하면서도 최신 인터페이스와 더 진화된 AI 기능들, 실무에 밀접한 고급 활용 사례 39개를 더 추가해서 사례를 97개로 늘렸고, 추가한 사례와 연계되는 실습 영상은 필자의 유튜브 채널인 youtube.com/@엄마표AI코딩을 통해 바로 확인할 수 있다.
여러 직종에서 더 편하고 효율적으로 일하고 싶은 분이나 다양한 용도로 AI를 최적화하여 사용하고 싶은 모든 분에게 이 책은 AI를 선택과 활용에 꼭 필요한 길잡이가 되어 줄 것이다."
95,2026 이기적 GTQ 포토샵 1급 기본서 ver. CC,일마,영진닷컴,2025-10-27,24000,21600,10.0,5,S000218183225,"포토샵 1급 시험을 준비하는 모든 사람들에게 필요한 [2026 이기적 GTQ 포토샵 1급(ver.CC)] 도서가 출간되었습니다. 기본서로 개념을 정리하고 기출 유형 문제를 통해 한 번에 합격하세요!
포토샵을 처음 접해보는 분들을 위해 프로그램에 대한 설명과 툴을 익힐 수 있도록 핵심 기능을 설명합니다. 또한 실제 시험의 문항별로 나오는 기능을 따라 익힐 수 있도록 자세한 설명을 진행하였습니다. 마지막으로 도서에 기재되어 있는 기출 유형 문제 10회분을 하나씩 풀어봄으로써 실제 시험에 충분히 대비할 수 있도록 준비하였습니다. 문제의 경우, 〈이기적 스터디 카페〉에서 구매 인증을 진행 시, 추가 기출 유형 문제 2회분 및 단축키 모음이 들어있는 또기적 합격자료집을 추가로 받아보실 수 있습니다. 시험에 합격할 때까지 홈페이지와 유튜브를 통해 저자가 직접 강의하는 무료 동영상 강좌까지 모두 제공받을 수 있습니다. 이기적은 여러분의 합격을 응원합니다!"
96,2026 이기적 컴퓨터활용능력 2급 필기 기출 800제,영진정보연구소,영진닷컴,2025-10-22,13000,11700,10.0,6,S000218081958,"컴퓨터활용능력 필기 단기 합격을 위한 〈2026 이기적 컴퓨터활용능력 2급 필기 기출 800제〉가 출간되었습니다. 이론보다 ‘기출 문제 중심’으로 빠르게 실력을 끌어올리고 싶은 수험생을 위해 2021~2025년 복원문제를 반영해 최신 경향을 담았습니다. 본권의 기출 800제에 더해 2021년 기출 200제를 PDF로 추가 제공하여 총 1,000문항을 제공합니다. 풍부한 기출 연습으로 과목별 출제 패턴을 익히고, 실전 감각을 완성하세요. 합격에 필요한 핵심만 빠르게 정복할 수 있습니다."
97,요즘 당근 AI 개발,당근 팀,골든래빗(주),2025-10-10,22000,19800,9.2,13,S000217613503,"‘AI로 과연 될까?’라는 질문은 ‘AI로 어떻게 하면 될까?’라는 고민으로 이어졌습니다. 엔지니어, 프로덕트 매니저, 운영 매니저, 누구든 문제의 중심에서 AI를 도구로 삼아 새로운 길을 만들어갔습니다. 이 책에는 커서로 바이브 코딩, MCP 개발, AI 에이전트 플랫폼 개발, 프롬프트 엔지니어링 기법 고도화를 통해 사용자의 경험을 극대화 하는 과정을 담았습니다.
AI 물품 추천, AI 게시글 작성, AI 시세 조회, CS 챗봇처럼 외부 사용자를 위한 사례부터 리뷰 자동 리포트 발행, 온콜 업무 단축, 임베딩 시멘틱 캐싱, 운영업무 자동화 등 내부 구성원을 위한 사례까지 다양한 실험과 성장의 이야기가 있습니다. 이 책은 AI가 만든 파도 위에서 혁신하고자 하는 모든 분에게 도움이 될 것입니다."
98,처음이지만 프로처럼 쓰는 노션 Notion,박한용(노션너굴),디지털북스,2025-09-30,25000,22500,9.97,76,S000217579119,"노션은 메모, 프로젝트 관리, 협업까지 아우르는 최고의 생산성 도구입니다. 하지만 많은 사용자가 빈 페이지 앞에서 막막함을 느끼거나, 남이 만든 템플릿에 의존하곤 합니다. 이 책은 노션 앰버서더 노션너굴의 노하우를 담아, 기초부터 데이터베이스, 자동화 템플릿까지 실전 중심으로 안내합니다.

특히 이번 개정판은 2025년 초판 출간 당시에는 없던 기능인 노션 AI와 Claude MCP 등 최신 기능을 반영했습니다. 글쓰기·요약·데이터 분석은 물론 외부 도구와의 자동화 연동까지 다루며, 실무와 학습 현장에서 곧바로 적용할 수 있도록 돕습니다. 여기에 풍부한 실습 템플릿과 UX 설계 팁을 제공하고, 책에서 배운 내용을 실습 영상으로 다시 따라 할 수 있어 학습 효과를 한층 높였습니다.
또한 자신만의 목적에 맞는 대시보드를 구축하고, 이를 공유하거나 판매해 부수익으로 확장하는 활용법까지 담았습니다. 기존의 노션 기초와 데이터베이스, 자동화 템플릿에 AI와 최신 기능까지 더한 『처음이지만 프로처럼 쓰는 노션 Notion』은 입문자에게는 든든한 기초를, 경험자에게는 더 높은 활용법을 제시해 줄 것입니다."
99,2026 이기적 컴퓨터그래픽기능사 필기 기본서,이향아,영진닷컴,2025-09-12,24000,21600,10.0,9,S000217395346,"본 도서는 2026 컴퓨터그래픽기능사 필기 시험을 준비하는 분들을 위해 최신 출제기준을 완벽 반영하여 출간한 수험서이다. 1권 이론서는 초보자도 쉽게 합격할 수 있도록 자세한 이론 설명과 기적의 TIP, 이론을 확인하는 기출문제를 수록했으며, 이해하기 어려운 개념은 동영상 강의와 함께 학습할 수 있다. 2권 기출공략집은 대표 기출 245선과 최신 기출문제 5회분을 담아 실전 시험대비까지 한 번에 끝낼 수 있도록 구성하였다."
100,"AI 시대의 질문력, 프롬프트 엔지니어링",류한석,코리아닷컴,2025-08-12,27000,24300,9.69,81,S000217048849,"★★★★★
책에 포함된 QR 코드를 통해 모든 프롬프트를 다운로드할 수 있습니다.

이제 프롬프트는 새로운 교양이다. 누구나 써야 하고, 제대로 써야 한다.
챗GPT를 쓰기는 하는데 제대로 쓸 줄 모르는 당신을 위한 책. AI에게 질문하기는 쉽지만, 질문 방식에 따라 결과가 천차만별이기 때문에 올바른 질문법이 중요하다. AI는 다양한 지식을 조합해 제공할 수 있지만, 당신의 의도까지 알아서 파악하기는 어렵다. 즉, 질문의 의도와 맥락을 ‘기계가 이해할 수 있도록’ 효과적으로 전달하는 능력이 필요하다. 
프롬프트 엔지니어링은 AI와의 대화 및 문제 해결 방식을 만드는 사고의 틀이자 다양한 역량이 결합된 통합적 기술이다. AI 시대에는 질문력이 곧 경쟁력이 된다. 같은 AI라도 사용자의 프롬프트 엔지니어링 능력에 따라 결과물의 품질과 효율은 하늘과 땅 차이가 나게 된다.
이 책은 저자가 삼성전자, 현대자동차, SK텔레콤, 국토교통부, 국방전산정보원 등 최고의 대기업과 공공기관에 제공한 프롬프트 엔지니어링 교육 콘텐츠를 완벽하게 정리하고 개선한 결정판으로, 프롬프트 작성의 탄탄한 기초를 제공하는 동시에 AI 잠재력을 120% 끌어낼 실용적인 레시피가 담겨 있다. 
프롬프트 전문가가 되기 위한 기초적인 이해에서부터 AI를 똑똑한 부하직원으로 써먹을 수 있는 질문의 기본 구조, 나아가 다양한 상황에서 바로 적용할 수 있는 프롬프트 패턴과 프레임워크까지, 생성형 AI를 제대로 사용하고 싶은 당신의 니즈를 모두 담은 책! 이 한 권이면 프롬프트를 마스터할 수 있다."
101,2026 시나공 컴퓨터활용능력 1급 실기 기본서,"길벗알앤디(강윤석, 김용갑, 김우경, 김종일)",길벗,2025-07-21,40000,36000,9.62,7,S000217066134,"2026 시나공 컴퓨터활용능력1급 실기 기본서는 기출문제 분석을 통해 최신 출제 경향을 완벽하게 반영한 도서입니다.

■ 〈시나공〉에서만 만날 수 있는 합격 비법
- 단골 출제 기능 18선 엄선 : 시험에 꼭 나오는 기능만 17가지로 압축하여 따라 하기 형식으로 구성하였습니다.
- 필수 문제 구성 : 모의고사 20회, 최신기출문제 10회를 통해 시험에 어떤 문제가 나와도 해결할 수 있도록 훈련합니다.
- 섹션 등급을 통한 선별학습 : 시험에 출제된 빈도에 따라 A, B, C, D등급을 정해두어 개인별 상황에 맞춰 우선순위를 선정, 학습 효율을 극대화할 수 있습니다.
- 책 속의 또 하나의 책! 기출문제집 제공 : 총 10회 최신기출문제와 컴활함수사전, 계산문제20회를 제공합니다.
- 저자 무료 강의 지원 : 유튜브와 홈페이지에서 핵심별 저자 무료 강의를 제공합니다.
- 꾸준히 업데이트되는 최신 자료 : 시나공 홈페이지(sinagong.co.kr)에서 핵심요약집, 최신기출문제 등 시험에 필요한 자료를 확인할 수 있습니다.
- 온라인 채점 서비스 : 횟수 불문, 장소 불문! 온라인 채점 서비스로 시험 전 실력을 확인해볼 수 있습니다."
102,2026 시나공 워드프로세서 실기 기본서 (ver.한글2022),길벗알앤디,길벗,2025-07-21,19000,17100,10.0,1,S000217066163,"2026 시나공 워드프로세서 실기 기본서는 기출문제 분석을 통해 최신 출제 경향을 완벽하게 반영한 도서입니다.

■ 〈시나공〉에서만 만날 수 있는 합격 비법
- 단골 출제 기능 17선 엄선 : 시험에 꼭 나오는 기능만 17가지로 압축하여 따라하기 형식으로 구성하였습니다.
- 필수 문제 구성 : 실전 모의고사 20회, 최신기출문제 5회를 통해 시험에 어떤 문제가 나와도 해결할 수 있도록 훈련합니다.
- 저자 무료 강의 지원 : 유튜브와 홈페이지에서 핵심별 저자 무료 강의를 제공합니다.
- 꾸준히 업데이트되는 최신 자료 : 시나공 홈페이지(sinagong.co.kr)에서 핵심요약집, 최신기출문제 등 시험에 필요한 자료를 확인할 수 있습니다.
- 온라인 채점 서비스 : 횟수 불문, 장소 불문! 온라인 채점 서비스로 시험 전 실력을 확인해볼 수 있습니다."
103,2026 이기적 컴퓨터활용능력 1급 필기 기본서,홍태성 외,영진닷컴,2025-07-20,31000,27900,9.88,50,S000216796744,"컴활 필기 시험을 준비하는 수험생이라면 필수인 책! 〈2026 이기적 컴퓨터활용능력 1급 필기 기본서〉가 출간되었습니다. 기본서는 3권의 이론서와 상시 기출문제를 담은 기출공략집까지 총 4권으로 구성되어 있습니다. 1권, 2권, 3권에서는 오랜 기간 출제 경향을 면밀히 분석하여 집필한 이론을 상세히 다룹니다. 각 파트와 섹션별로는 출제 빈도를 표기해, 수험생들이 효과적으로 학습을 진행할 수 있도록 구성하였고, 이론 학습 후 바로 기출문제를 통해 학습 내용을 확인할 수 있으며, 어려운 문제에 대해서는 추가적인 문제 풀이 동영상 강의로 확실한 이해를 도와드립니다. 4권의 기출공략집에서는 대표 기출 60선과 2024~2025년의 상시 기출문제를 제공하여 자주 출제되는 문제와 최신 경향의 문제로 실제 시험에 착실히 대비할 수 있습니다."
104,된다! 조회수 터지는 유튜브 쇼츠 만들기,최지영,이지스퍼블리싱,2025-04-07,22000,19800,9.79,62,S000216111358,"제2의 월급을 만들어 주는 수익화 방법도 꾹꾹 눌러 담았습니다!
“유튜브를 하면 좋다는 건 아는데, 어디서부터 시작해야 할지 막막해요!”
“10개나 올렸는데 조회수가 0… 나랑 유튜브는 안 맞는 걸까요?”
이 책은 유튜브 쇼츠를 처음 시작하는 분들을 위해 ‘첫 영상 올리기’부터 ‘수익화’까지 전 과정을 담은 입문서입니다. 유튜브가 밀어 주는 키워드와 주제를 발굴해 채널의 방향성과 전략을 구사할 수 있도록 다양한 벤치마킹 방법과 챗GPT 활용법을 소개합니다. 또, 이 책에서 배우는 AI 브루 활용법과 간단한 캡컷 편집 기술만 알면 내가 평소 보던 쇼츠 영상 그 이상의 것도 만들 수 있습니다. 유튜브 알고리즘을 관리해서 만든 영상이 지속적으로 사랑받고 노출되는 채널 운영 노하우까지 전수해 드려요. 아울러 쇼츠 영상을 릴스와 틱톡으로 확장하여 단기간 내에 한층 더 영향력 있는 인플루언서로 성장할 수도 있는 기반을 마련하는 과정과 제2의 월급을 만들어 주는 수익화 방법 4가지까지 해답을 얻어 갈 수 있습니다.
쇼츠, 이 책과 함께 지금 당장 도전하세요!"
105,마법 같은 영상 제작을 위한 스마트폰 촬영 및 편집 with 캡컷,롱제이,시프트,2025-03-03,23000,20700,9.85,39,S000215691407,"아이폰, 갤럭시 등 스마트폰에 탑재된 카메라는 매년 업그레이드되어 전문가의 촬영 장비 못지않은 성능을 자랑한다. 이런 고성능 카메라를 유튜브 시청용으로만 사용한다면 너무 아깝지 않을까? 영상 콘텐츠 제작은 더 이상 전문가만의 전유물이 아니다. 지금부터는 스마트폰 카메라를 사용해 소중한 추억, 재미있는 일상을 영상으로 남겨 보자. 이 책에는 모든 영상의 촬영부터 편집까지 스마트폰 하나로 끝내고, 1년 만에 1억 뷰 이상 조회수를 달성한 릴스 마법사 롱제이의 생생한 노하우가 그대로 담겨 있다. 영상 촬영이 어렵게만 느껴졌다면, 스마트폰 카메라 활용 방법과 캡컷 앱을 이용한 마법 같은 영상 편집 비법을 배워 1인 미디어 시대에 어울리는 콘텐츠 크리에이터에 도전장을 내밀어 보자!"
106,NEW 우당탕탕 한글 2020/2022로 문서만들기,교재개발팀,마린북스,2024-08-30,14000,12600,10.0,5,S000214082208,"한글을 처음 접하는 학생들이 재미있는 예제로 쉽게 배우는 한글 교재입니다.
이 책은 쉽게 따라할 수 있고 재미있게 학습할 수 있는 예제로 구성하였으며, 각 차시별로 혼자서 직접 만들 수 있는 예제를 통해 실력을 키울 수 있습니다. 또한 액티비티를 제공하여 실생활에 활용할 수 있습니다.

▶ 네 컷 만화 수록
   배울 기능과 관련된 네 컷 만화를 살펴보면서 학습 전 흥미 유발이 가능해요.

▶ 차별화된 실습 예제
   쉽고 흥미로운 주제의 한글 2022 실습 예제가 다양하게 준비되어 있어요.

▶ 프로그램의 신기능
   한컴 애셋을 포함한 한글 2022의 새로운 기능을 알아보아요"
107,인공지능,천인국,인피니티북스,2023-03-10,33000,33000,10.0,5,S000201190905,"〈인공지능 2판〉은 인공지능을 처음 배우는 학습자라도 쉽게 따라올 수 있을 만큼 다양한 그림과 실습으로 가득하다. 특히 딥러닝 분야에서는 구글이 제공하는 텐서플로우 플레이그라운드 사이트를 이용하여 개념을 쉽게 이해할 수 있도록 하였다. 각 장의 본문에는 학습자의 진도에 따라 적절한 실습들이 이어지며, 이것들을 따라 하다 보면 실전에 적용되는 인공지능의 다양한 이론들을 습득하게 된다. 각 장의 끝에는 연습문제를 두어 학습자들이 추가로 학습할 수 있도록 하였다.

이번 개정판에서 변경된 부분은 다음과 같다. 

 인공지능 소개 내용에 최신의 경향을 반영하였다. 
 탐색을 위한 파이썬 코드를 수정, 보완하였다. 
 전통적인 머신러닝 이론인 결정 트리를 추가하였다. 
 기존의 책에는 없었던 영상 인식 딥러닝, 강화 학습, 생성 모델 등의 내용을 추가하고, 강화 학습 실습 코드를 보완하였다."
108,데이터센터 인사이드 + 아웃,조진균 외,문운당,2023-01-25,30000,30000,9.77,14,S000200883848,"현대사회는 공학기술뿐 아니라 문화, 정보, 금융 등 우리의 일상생활이 AI, IoT 및 빅데이터와 같은 4차 산업혁명과 맞물려 있으며, 모든 산업과 서비스의 디지털화가 급속도로 진행 중이다. 데이터센터는 이러한 산업/서비스의 디지털화를 구현하는 가장 핵심적인 역할을 하고 있다. 본 기술서는 데이터센터를 구성하는 필수 인프라설비의 계획(설계), 구축(시공), 운영(유지관리) 등 일련의 가치사슬(Value Chain) 내 핵심기술을 체계적으로 제공하는 데 목적이 있다. 따라서 데이터센터를 처음 접하는 사람에게는 입문서로써의 역할을 하고, 관련 분야의 전문 기술자에게는 상세 지침서의 기능을 할 수 있도록 기술의 폭과 깊이를 넓게 설정하여 기술하였다. 기계설비, 전기･통신설비 및 소방설비의 기술 기준부터 IT장비 운영환경과 에너지 효율의 최적화 응용 기술까지 다룬다."
109,혼자 공부하는 데이터 분석 with 파이썬,박해선,한빛미디어,2023-01-02,26000,23400,9.7,57,S000200467471,"이 책은 독학으로 데이터 분석을 배우는 입문자가 ‘꼭 필요한 내용을 제대로 학습’할 수 있도록 구성했습니다. 뭘 모르는지조차 모르는 입문자의 막연한 마음에 십분 공감하여 과외 선생님이 알려주듯 친절하게, 핵심적인 내용만 콕콕 집어 줍니다. 책의 첫 페이지를 펼쳐서 마지막 페이지를 덮을 때까지, 혼자서도 충분히 데이터 분석을 배울 수 있다는 자신감과 확신이 계속될 것입니다!

베타리더 검증으로, ‘함께 만든’ 입문자 맞춤형 도서
베타리더와 함께 입문자에게 맞는 난이도, 분량, 학습 요소 등을 고민하고 이를 적극 반영했습니다. 어려운 용어와 개념은 한 번 더 풀어쓰고, 복잡한 설명은 눈에 잘 들어오는 그림으로 풀어냈습니다. ‘혼자 공부해 본’ 여러 입문자의 초심과 눈높이가 책 곳곳에 반영된 것이 이 책의 가장 큰 장점입니다.

누구를 위한 책인가요?

●	데이터 분석을 어떻게 시작할지 막막한 비전공자
●	파이썬을 배운 다음 의미 있는 실습을 해 보고 싶은 파이썬 입문자
●	프로그래밍은 알지만, 분석(통계)에 대한 이해가 필요한 개발자
●	데이터에서 유의미한 결과를 도출해 이를 기획이나 마케팅에 적용해 보고 싶은 직장인
●	데이터 분석가, 데이터 사이언티스트라는 직업에 관심 있는 모든 사람"
110,0부터 시작하는 OS 자작 입문,우치다 코타,에이콘출판,2022-06-30,60000,54000,10.0,6,S000061352307,"OS 구동부터 애플리케이션 실행까지 C++로 OS를 제작하는 전반적인 방법을 다룬다. 단계별로 안내하고 있어 OS 개발 초보자도 따라 하며 진행할 수 있다. 용어의 의미도 함께 설명돼 있다. 
이 책은 UEFI BIOS로 시작해서 Intel 64 모드로 동작하는 오리지널 OS인 MikanOS를 구현하는 것을 목표로 한다. MikanOS는 페이징을 사용해 메모리 관리를 수행하고 USB 3.0 드라이버를 탑재한 윈도우 시스템, 선점형 멀티태스크, 파일 시스템을 가진 OS다. 이 책을 통해 OS 제작을 경험해볼 수 있을 것이다."
111,비전공자를 위한 이해할 수 있는 IT 지식,최원영,티더블유아이지,2020-07-14,16800,15120,9.26,292,S000001981866,"우리는 매일 스마트폰으로 메시지를 보내고, 컴퓨터로 일을 합니다. 또 음식점에서 키오스크로 주문하고, 가상현실에서 게임을 즐깁니다. IT는 더 이상 전문가들만의 이야기가 아닙니다. 우리의 삶 곳곳을 IT가 점령하고 있고, 그 속도는 계속해서 빨라지고 있습니다. 이제 IT를 모르고선 세상을 이해하기 어려운 시대가 되었습니다.

이 책은 비전공자를 위한 ‘IT 기초 문법서’로, 한 번쯤 들어봤을 프로그래밍 언어, 운영체제, 네트워크, API, JSON, 데이터베이스, 이미지 처리, 프레임워크, 라이브러리, 깃(Git), 디자인 이슈 등 다양한 지식을 담고 있습니다. 복잡하게 얽혀 있어 한 번에 이해하기 어려웠던 각각의 지식들을 친숙한 이야기로 쉽게 풀어냄으로써 IT 산업의 전체적인 큰 그림을 그릴 수 있도록 도와줍니다."
112,Do it! 첫 파이썬,엘리스 코딩,이지스퍼블리싱,2020-04-10,14000,12600,9.84,58,S000001817967,"초등 고학년부터 필수인 코딩, 주인공 ‘엘리스 토끼’와 함께 게임하듯 배우세요. 176가지 그림과 45가지 코딩 문제를 풀다 보면 코딩 능력과 컴퓨팅 사고력을 동시에 기를 수 있답니다. 이 책은 서울대, 카이스트 출신 교육진, 7만 명의 수강생이 검증한 온라인 플랫폼 ‘엘리스 코딩’에서 직접 집필한 책으로, 인터넷만 되면 바로 실습할 수 있어 실습 편리성과 교육 효과 모두 탁월합니다. 마지막 과제인 ‘점심 메뉴 추첨기’ 프로그램까지 만들면 ‘파이썬 이수증’도 드립니다. 제대로 설계된 코딩 교육 콘텐츠를 찾는 학생·학부모·선생님은 물론, 코딩 공부가 처음인 코딩 초보자도 이 책으로 시작하세요!"
113,린 스타트업,에릭 리스,인사이트,2012-11-12,18000,16200,9.38,58,S000001032948,"지속적 혁신을 실현하는 창업의 과학『린 스타트업』. 불확실한 창업 환경에서 지속적 혁신을 실현할 수 있는 창업 방법은 무엇일까? 이 책은 이러한 질문의 대안으로, 최근 실리콘밸리를 중심으로 주목을 받고 있는 린 스타트업 운동을 제시한다. 린 스타트업의 창시자인 에릭 리스는 여러 번의 창업 실패와 성공 경험에 린 제조의 교훈을 접목해 스타트업 창업에 필요한 과학적인 접근 방식을 소개한다.

본문은 빠른 피드백을 통한 제품 개발과 신속한 과학적 실험 같은 실천을 통해 무의미한 지표에 의지하지 않고 실제 성과를 측정해 고객이 정말 무엇을 바라는지 배우는 데 집중하는 방법을 소개한다. 급변하는 상황에 민첩하게 적응하고 계획을 조정하며 사업과 회사를 성장시키고 확장하는 기법을 만나볼 수 있다."
114,마이크로비트 크리에이트AI로 배우는 인공지능 머신러닝,박보경 외,지오북스,2026-06-30,19000,17100,10.0,1,S000219974540,"6년 전, 초등학교에 입학하는 아들에게 코딩을 알려주고 싶었습니다. 그런데 텍스트 중심의 코딩은 어린아이에게도, 가르치려는 저에게도 쉽지 않았습니다. 무엇을 가르쳐야 하는지보다, 어떻게 하면 아이의 눈높이에서 쉽고 재미있게 배울 수 있을지를 먼저 고민하게 되었습니다. 그리고 앞으로 아이들이 살아갈 시대에는 컴퓨팅 사고력이 더욱 중요해질 것이라는 생각이 들었습니다.
그 고민을 안고 교육 현장에 먼저 뛰어들었습니다. SW미래채움 강사로 활동하며 경남 지역20여 개 학교에서 로봇, 블록 코딩, 드론, 인공지능, 피지컬 컴퓨팅 등 다양한 수업을 진행하였습니다. 현장에서 아이들을 만날수록 하나의 공통된 고민이 보였습니다. 인공지능이 중요하다는 것은 누구나 알지만, 막상 교육 현장에서는 어떻게 가르쳐야 할지 여전히 막막하다는 것이었습니다. 특히 어린 학습자에게 인공지능은 눈에 보이지 않고 손에 잡히지 않는 추상적인 기술이기에 더 어렵게 다가올 수 있습니다.
현장 경험이 쌓일수록, 제대로 가르치려면 먼저 제대로 배워야 한다는 생각이 분명해졌습니다. 그래서 뒤늦게 진주교육대학교 대학원에 진학하여AI융합교육 석사과정을 마쳤고, 현재는 컴퓨터교육 박사과정에서 공부를 이어 가고 있습니다. 교실에서 직접 수업하며 느꼈던 고민들을 학문적으로 다지는 과정 속에서, 인공지능을 조금 더 쉽고 친근하게 만날 수 있는 방법을 오래 고민하게 되었고, 그 과정에서 피지컬 컴퓨팅의 가능성에 주목하게 되었습니다.
마이크로비트와 같은 피지컬 컴퓨팅 도구는 버튼을 누르고, 센서를 활용하고, 장치의 반응을 직접 확인하면서 기술을 눈으로 보고 손으로 경험할 수 있게 해 줍니다. 여기에 인공지능을 연결하면, 데이터가 어떻게 모이고, 어떤 판단과 반응이 이루어지는지를 훨씬 구체적이고 생생하게 이해할 수 있습니다. 어렵게만 느껴졌던 인공지능이 눈앞의 움직임과 결과로 나타날 때, 학습자는 기술을 한결 자연스럽게 받아들이게 됩니다.
이 책은 그러한 현장 경험과 학문적 고민이 만나 탄생한 결과물입니다. 단순히 기능 몇 가지를 익히는 데 그치지 않고, 교사와 강사가 인공지능과 피지컬 컴퓨팅을 학습자의 수준에 맞게 풀어내고, 실제 수업 속에서 의미 있게 활용할 수 있도록 돕고자 하였습니다. 기술을 설명하는 수업보다 직접 만들고 움직이며 이해하는 수업이 아이들에게 더 오래 남는다는 것을, 저는 여러 현장에서 확인해 왔습니다.
이 책이 인공지능과 피지컬 컴퓨팅을 수업에 활용하고자 하는 교사와 강사에게 현장에서 바로 적용할 수 있는 아이디어와 용기를 건네는 안내서가 되기를 바랍니다. 완벽한 답을 제시하는 책은 아닐지라도, 교육 현장에서 한 걸음을 내딛게 해 주는 실질적인 출발점이 되었으면 합니다.
처음에는 내 아이를 잘 가르치고 싶다는 마음으로 시작한 공부였습니다. 그 마음은 이제, 더 많은 아이들이 인공지능 시대를 이해하고, 기술을 두려워하지 않으며, 자신의 생각과 문제 해결에 활용할 수 있기를 바라는 마음으로 이어졌습니다. 이 책이 그 길에 작은 도움이 되기를 바랍니다.

이 책에서는 마이크로비트를 활용하여 피지컬 컴퓨팅의 기본 구조를 단계적으로 배웁니다. 간단한 불빛 표현에서 시작하여, 센서로 현실 세계의 정보를 감지하고 그 결과를 다시 현실 세계로 출력하는 활동을 차례대로 다룹니다. 이런 경험은 책의 마지막 부분에서 배울 피지컬 AI, 즉 인공지능이 실제 세계에서 어떻게 활용되는지 이해하는 데 필요한 기초가 됩니다.
이 책은 피지컬 컴퓨팅을 처음 접하는 학생도 차근차근 배울 수 있도록 구성되었습니다. 생각하고, 실험하고, 바꾸고, 다시 시도하는 과정을 통해 컴퓨터와 세상이 어떻게 연결되는지를 자연스럽게 이해하게 됩니다. 이제 마이크로비트의 구성과 기능을 하나씩 살펴보겠습니다."
115,취미가 돈이 되는 인스타툰,뇽(이건용),시프트,2026-06-20,22000,19800,10.0,1,S000220053902,"요즘은 ‘부업의 시대’라고 불릴 만큼 누구나 새로운 수익 창출 방법을 고민한다. 하지만 대부분의 부업은 초기 자본이나 전문 기술이 필요하거나, 많은 시간을 쏟아야만 유지할 수 있다. 그렇다면 평범한 직장인이 본업을 유지하면서 부담 없이 시작할 수 있는 부업은 없을까?

이 책은 바로 그런 고민에서 출발한다. 저자는 전업 작가도, 유명 일러스트레이터도 아니다. 평범한 직장인으로 회사에 다니며 남는 시간을 활용해 인스타툰을 연재했고, 광고 협업과 같은 다양한 기회를 얻으며 꾸준한 부수입을 만들어 내고 있다.

인스타툰의 가장 큰 장점은 진입 장벽이 낮다는 점이다. 그림을 아주 잘 그리지 않아도 된다. 거창한 장비나 큰 투자금도 필요하지 않다. 오늘 하루 있었던 일, 업무 중 집에 가고 싶은 마음과 같은 일상을 잘 풀어내는 것만으로 충분히 시작할 수 있다. 중요한 것은 공감할 수 있는 소재와 꾸준함이다.

인스타툰은 특별한 사람만 할 수 있는 일이 아니다. 퇴근 후 남는 시간, 낙서처럼 가볍게 시작한 한 장의 그림이 새로운 기회가 될 수도 있다. 이 책은 그런 가능성을 가장 현실적으로 보여 주는 인스타툰 입문서다. 또한, ‘인스타툰은 돈벌이 이전에 퍼스널 브랜딩’이라는 관점을 중심으로, 단순한 부업을 넘어 자신만의 콘텐츠와 브랜드를 만들어 가는 과정을 현실적으로 담아냈다. 실제로 저자는 인스타툰을 통해 독자들과 관계를 형성했고, 그 경험은 광고 협업뿐 아니라 오프라인 공간까지 확장되었다. 

인스타툰의 개념부터 캐릭터 만들기, 스토리텔링, 인스타그램 운영 및 광고 협상 요령까지. 5년 동안 직접 부딪히며 쌓아 온 실전 노하우를 이 책 한 권에 고스란히 담았다. 그림에 자신이 없어도, 콘텐츠 제작이 처음이어도 괜찮다. 이 책과 함께라면 누구나 인스타툰 연재를 시작할 수 있을 것이다."
